"id","firstName","lastName","adp","projectedPoints","slotName","teamName","lineupStatus","byeWeek"
"dd06536e-6005-4d09-b616-6fc3a45363ce","A.J.","Green","189.5","61.0","WR","Arizona Cardinals",,
"da7e367e-65a7-43fb-9f76-f250f4d3dccf","Derek","Carr","191.3","240.0","QB","Las Vegas Raiders",,
"3c39bb96-bb1b-4b85-8eff-1553a882a897","Eric","Ebron","191.5","72.9","TE","Pittsburgh Steelers",,
"72f79076-e3f9-4f67-9960-c250cf87b151","Amari","Rodgers","192.4","97.0","WR","Green Bay Packers",,
"bb807ae2-6c26-4f2f-9b1a-d715f3108acd","James","White","192.8","82.2","RB","New England Patriots",,
"d501bdab-4a71-40e9-b748-889725b5bf0d","Zach","Ertz","193.9","57.8","TE","Philadelphia Eagles",,
"30370125-b0bf-4db2-81da-be8a411441f4","D'Wayne","Eskridge","193.9","67.0","WR","Seattle Seahawks",,
"c7f9dc86-807d-4c6a-8ec2-2b6db622cc3a","Jeffery","Wilson","194.7","40.4","RB","San Francisco 49ers",,
"bd9427ac-7804-43a4-8a28-ad3acc62d861","Darius","Slayton","194.8","81.2","WR","NY Giants",,
"5949a3d1-56be-4b3e-b75b-827f30450b94","Demarcus","Robinson","195.1","74.8","WR","Kansas City Chiefs",,
"296a80dd-e254-42bf-8941-f584184e6437","Christopher","Herndon","196.5",,"TE","NY Jets",,
"e67c62f1-487f-43b4-b3d7-9936dbf31332","K.J.","Hamler","198.9","101.4","WR","Denver Broncos",,
"a33779e8-01ef-487d-b79b-c30d23fb96d1","Darrynton","Evans","200.9","75.2","RB","Tennessee Titans",,
"76b4bd01-83be-4e42-be96-7300fe68a69c","Marquez","Valdes-Scantling","201.1","80.6","WR","Green Bay Packers",,
"9b57c24f-8347-4a38-b7b4-3faeb0e407a0","Nico","Collins","201.8","63.0","WR","Houston Texans",,
"375cc035-5f3a-4065-ad46-543d8b9a19c4","Jerick","McKinnon","202.0","58.0","RB","Kansas City Chiefs",,
"ff6be397-b8a4-446c-b78d-ade23715f42b","DeSean","Jackson","202.1","80.4","WR","Los Angeles Rams",,
"ee0db6e3-7516-4cdf-a310-918649f10c82","Javian","Hawkins","202.2","18.1","RB","Atlanta Falcons",,
"f0e57430-9995-4885-864e-978b28aa547e","Tevin","Coleman","202.7","43.6","RB","NY Jets",,
"138c0f97-4400-4b13-a04a-d5e77b3a4e6e","Jared","Goff","203.2","198.3","QB","Detroit Lions",,
"b16d6b5e-6fe4-44cc-85b8-4c3cf2bfd38b","Sammy","Watkins","205.0","89.1","WR","Baltimore Ravens",,
"a33f7e32-b5dd-4e9f-91a3-d860c2c38c93","Giovani","Bernard","205.2","58.8","RB","Tampa Bay Buccaneers",,
"ca04265c-c408-4d13-869d-101f4931214a","Cam","Newton","206.0","144.8","QB","New England Patriots",,
"17536b30-c882-456b-94c9-a5ea90ace8e6","Taysom","Hill","206.6","88.9","QB","New Orleans Saints",,
"906de9b2-847d-4785-98ba-db6508dae97f","Van","Jefferson","206.6","48.8","WR","Los Angeles Rams",,
"04be7997-3aa0-407d-baaf-4dc57339c227","Jakobi","Meyers","206.9","98.2","WR","New England Patriots",,
"f7abe004-5f03-48e9-aafc-daf907a7efa4","Damien","Williams","207.8","23.9","RB","Chicago Bears",,
"664389a6-4faf-4d3d-949b-d2c74a8d223b","Elijah","Mitchell","208.0","13.0","RB","San Francisco 49ers",,
"c7b76231-b0f7-4156-ab5b-b6f3f9511760","Mo","Alie-Cox","208.8","44.3","TE","Indianapolis Colts",,
"cdc3a609-5a76-4a07-a5fc-dcd8dd094d51","Marlon","Mack","208.9","65.9","RB","Indianapolis Colts",,
"6f4a14e9-245b-4ee7-a51f-83fc39dedb27","O.J.","Howard","209.5","53.1","TE","Tampa Bay Buccaneers",,
"54fe78c0-ea25-423b-8b9d-e75d60ac6f83","Allen","Lazard","210.2","62.8","WR","Green Bay Packers",,
"57100e6b-0a4c-4c51-be0b-f56ba96b2d9c","Rhamondre","Stevenson","210.3","64.3","RB","New England Patriots",,
"f9bfb56d-bb33-4c6a-925f-87b504efc696","Dawson","Knox","210.9","64.6","TE","Buffalo Bills",,
"93be3bde-a628-4007-b8ce-1cfeaeb2fcf6","Salvon","Ahmed","211.3","52.8","RB","Miami Dolphins",,
"24934c5c-916a-471d-828a-366a0f8a3c32","Ty","Johnson","211.4","36.5","RB","NY Jets",,
"0c1dbc8b-9c4b-44d4-853e-6f8627a3b659","Josh","Palmer","211.4","75.9","WR","Los Angeles Chargers",,
"137a7e3d-86ed-40dc-b4f8-ddf0c4476253","Wayne","Gallman","211.5",,"RB","San Francisco 49ers",,
"d7ca4d1d-283d-44eb-b1c7-0103a6758d22","Malcolm","Brown","212.7","74.7","RB","Miami Dolphins",,
"33875682-b709-4739-8c5b-707284b2c18d","Dez","Fitzpatrick","212.9","57.9","WR","Tennessee Titans",,
"48dbad2b-5407-420f-af8b-b594186b09b3","Mac","Jones","213.2","135.4","QB","New England Patriots",,
"7276b91f-8dea-465b-b223-e3edee3cba36","Dalton","Schultz","213.2","64.1","TE","Dallas Cowboys",,
"77969a65-3022-4d52-93b6-d2b34ea3c8f6","Jalen","Guyton","213.5","52.6","WR","Los Angeles Chargers",,
"4af7b449-4899-406c-bbb1-308fb4e716d8","Anthony","Miller","213.6","72.1","WR","Chicago Bears",,
"3288f509-b2eb-4c99-a0f7-c634153f04e1","Donald","Parham","213.7","66.6","TE","Los Angeles Chargers",,
