Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1818463607,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,161.84,,3021,23952,Tournament,0.25,0.50,https://www.fanduel.com/entry/BKVRTTOJI,
S1818447203,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,186.38,,582,23952,Tournament,0.25,1.00,https://www.fanduel.com/entry/CHVOCGCFY,
S1818444365,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,152.88,,4972,23952,Tournament,0.25,0.50,https://www.fanduel.com/entry/BRGMUPFGL,
S1818439394,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,202.98,,163,23952,Tournament,0.25,2.00,https://www.fanduel.com/entry/DBPXWGEJJ,
S1818436712,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,171.72,,1605,23952,Tournament,0.25,0.60,https://www.fanduel.com/entry/ECWZUFHMX,
S1818436365,nfl,2019/10/06,$8K Sun NFL Super Safety (Single Entry),$60k,171.72,,373,4761,Tournament,2,5.00,https://www.fanduel.com/entry/EPSRMMALV,
S1816936397,nfl,2019/10/03,$3K Thu NFL 2nd Half Hail Mary ($0.25 to Enter),$60k,35.86,,11953,14371,Tournament,0.25,0,https://www.fanduel.com/entry/DIORHRZDA,
S1815640265,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,210.86,,92,23952,Tournament,0.25,4.00,https://www.fanduel.com/entry/COUHJCOSZ,
S1815374705,nfl,2019/10/06,$22K Sun NFL Hail Mary (Only $0.25 to Enter!),$60k,160.38,,28086,105389,Tournament,0.25,0,https://www.fanduel.com/entry/FDCHRYAJH,
S1812257906,nfl,2019/09/29,$1K Sun NFL Super Safety (Single Entry),$60k,108.40,,223,595,Tournament,2,0,https://www.fanduel.com/entry/CPWAKGLLX,
S1811992849,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,100.20,,273885,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DIASWJERL,
S1811810651,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,129.30,,81016,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/DVKHSRQTC,
S1808579602,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,107,,227728,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DOLPAEARP,
S1808577954,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,113.50,,181664,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DGYYBARFT,
S1808576219,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,103.44,,252688,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BMZGDZXCB,
